group,function,value,sample_time_nanos,iteration_count
populating items,,"(1000, 10)",959500,3
populating items,,"(1000, 10)",1899841,6
populating items,,"(1000, 10)",2827882,9
populating items,,"(1000, 10)",3777273,12
populating items,,"(1000, 10)",4738653,15
populating items,,"(1000, 10)",5447974,18
populating items,,"(1000, 10)",6545316,21
populating items,,"(1000, 10)",7442416,24
populating items,,"(1000, 10)",8420727,27
populating items,,"(1000, 10)",9168256,30
populating items,,"(1000, 10)",10732759,33
populating items,,"(1000, 10)",10808447,36
populating items,,"(1000, 10)",12331881,39
populating items,,"(1000, 10)",12802960,42
populating items,,"(1000, 10)",14013850,45
populating items,,"(1000, 10)",14979150,48
populating items,,"(1000, 10)",15719611,51
populating items,,"(1000, 10)",16601454,54
populating items,,"(1000, 10)",16754032,57
populating items,,"(1000, 10)",18769104,60
populating items,,"(1000, 10)",19534075,63
populating items,,"(1000, 10)",20432274,66
populating items,,"(1000, 10)",20609985,69
populating items,,"(1000, 10)",22646116,72
populating items,,"(1000, 10)",23571897,75
populating items,,"(1000, 10)",25051735,78
populating items,,"(1000, 10)",25112941,81
populating items,,"(1000, 10)",26182838,84
populating items,,"(1000, 10)",26823110,87
populating items,,"(1000, 10)",27696462,90
populating items,,"(1000, 10)",28067941,93
populating items,,"(1000, 10)",29894582,96
populating items,,"(1000, 10)",30765204,99
populating items,,"(1000, 10)",31778316,102
populating items,,"(1000, 10)",32651616,105
populating items,,"(1000, 10)",31664412,108
populating items,,"(1000, 10)",34679785,111
populating items,,"(1000, 10)",35827597,114
populating items,,"(1000, 10)",36861260,117
populating items,,"(1000, 10)",37973300,120
populating items,,"(1000, 10)",37414359,123
populating items,,"(1000, 10)",38645761,126
populating items,,"(1000, 10)",38648113,129
populating items,,"(1000, 10)",39456089,132
populating items,,"(1000, 10)",40331279,135
populating items,,"(1000, 10)",41143125,138
populating items,,"(1000, 10)",44008662,141
populating items,,"(1000, 10)",43426656,144
populating items,,"(1000, 10)",45520294,147
populating items,,"(1000, 10)",47872189,150
populating items,,"(1000, 10)",47961723,153
populating items,,"(1000, 10)",47445006,156
populating items,,"(1000, 10)",49656037,159
populating items,,"(1000, 10)",49160166,162
populating items,,"(1000, 10)",50687220,165
populating items,,"(1000, 10)",51259640,168
populating items,,"(1000, 10)",52054472,171
populating items,,"(1000, 10)",54702233,174
populating items,,"(1000, 10)",53612493,177
populating items,,"(1000, 10)",53307988,180
populating items,,"(1000, 10)",56568752,183
populating items,,"(1000, 10)",55182341,186
populating items,,"(1000, 10)",60645274,189
populating items,,"(1000, 10)",60854466,192
populating items,,"(1000, 10)",59510884,195
populating items,,"(1000, 10)",60203695,198
populating items,,"(1000, 10)",61416626,201
populating items,,"(1000, 10)",62502256,204
populating items,,"(1000, 10)",63117880,207
populating items,,"(1000, 10)",64823037,210
populating items,,"(1000, 10)",63295668,213
populating items,,"(1000, 10)",63689347,216
populating items,,"(1000, 10)",66116100,219
populating items,,"(1000, 10)",68222181,222
populating items,,"(1000, 10)",68087254,225
populating items,,"(1000, 10)",70320469,228
populating items,,"(1000, 10)",70430937,231
populating items,,"(1000, 10)",72116676,234
populating items,,"(1000, 10)",74202787,237
populating items,,"(1000, 10)",73844935,240
populating items,,"(1000, 10)",73977347,243
populating items,,"(1000, 10)",72692719,246
populating items,,"(1000, 10)",76393691,249
populating items,,"(1000, 10)",77292936,252
populating items,,"(1000, 10)",80250862,255
populating items,,"(1000, 10)",80938024,258
populating items,,"(1000, 10)",78607782,261
populating items,,"(1000, 10)",79520211,264
populating items,,"(1000, 10)",79890807,267
populating items,,"(1000, 10)",82511551,270
populating items,,"(1000, 10)",82926883,273
populating items,,"(1000, 10)",83287962,276
populating items,,"(1000, 10)",84175557,279
populating items,,"(1000, 10)",83725666,282
populating items,,"(1000, 10)",87800614,285
populating items,,"(1000, 10)",87975447,288
populating items,,"(1000, 10)",88133015,291
populating items,,"(1000, 10)",87432702,294
populating items,,"(1000, 10)",90541593,297
populating items,,"(1000, 10)",91299871,300
