group,function,value,sample_time_nanos,iteration_count
single push,,"(1000, 10)",492311,8
single push,,"(1000, 10)",988121,16
single push,,"(1000, 10)",1370571,24
single push,,"(1000, 10)",2022261,32
single push,,"(1000, 10)",2416512,40
single push,,"(1000, 10)",2968293,48
single push,,"(1000, 10)",3456664,56
single push,,"(1000, 10)",4027333,64
single push,,"(1000, 10)",4419444,72
single push,,"(1000, 10)",4929214,80
single push,,"(1000, 10)",5321833,88
single push,,"(1000, 10)",5423055,96
single push,,"(1000, 10)",6161135,104
single push,,"(1000, 10)",6720907,112
single push,,"(1000, 10)",7152305,120
single push,,"(1000, 10)",7698485,128
single push,,"(1000, 10)",7979053,136
single push,,"(1000, 10)",8479350,144
single push,,"(1000, 10)",8786099,152
single push,,"(1000, 10)",9961809,160
single push,,"(1000, 10)",10271066,168
single push,,"(1000, 10)",10896141,176
single push,,"(1000, 10)",10982501,184
single push,,"(1000, 10)",11657688,192
single push,,"(1000, 10)",11922130,200
single push,,"(1000, 10)",12441518,208
single push,,"(1000, 10)",13033642,216
single push,,"(1000, 10)",13665175,224
single push,,"(1000, 10)",13913778,232
single push,,"(1000, 10)",14486868,240
single push,,"(1000, 10)",15248276,248
single push,,"(1000, 10)",15746815,256
single push,,"(1000, 10)",15756335,264
single push,,"(1000, 10)",16278053,272
single push,,"(1000, 10)",17054383,280
single push,,"(1000, 10)",17203232,288
single push,,"(1000, 10)",18192268,296
single push,,"(1000, 10)",18810876,304
single push,,"(1000, 10)",19059195,312
single push,,"(1000, 10)",19325614,320
single push,,"(1000, 10)",19772130,328
single push,,"(1000, 10)",20590356,336
single push,,"(1000, 10)",20325756,344
single push,,"(1000, 10)",21000794,352
single push,,"(1000, 10)",21825995,360
single push,,"(1000, 10)",21795710,368
single push,,"(1000, 10)",22782656,376
single push,,"(1000, 10)",22508587,384
single push,,"(1000, 10)",24122026,392
single push,,"(1000, 10)",24126848,400
single push,,"(1000, 10)",24607881,408
single push,,"(1000, 10)",24099991,416
single push,,"(1000, 10)",25567858,424
single push,,"(1000, 10)",26549269,432
single push,,"(1000, 10)",26990384,440
single push,,"(1000, 10)",27425370,448
single push,,"(1000, 10)",27634440,456
single push,,"(1000, 10)",27687733,464
single push,,"(1000, 10)",28767670,472
single push,,"(1000, 10)",28981893,480
single push,,"(1000, 10)",29459723,488
single push,,"(1000, 10)",29994512,496
single push,,"(1000, 10)",30938141,504
single push,,"(1000, 10)",30874403,512
single push,,"(1000, 10)",31181624,520
single push,,"(1000, 10)",32404801,528
single push,,"(1000, 10)",32724728,536
single push,,"(1000, 10)",32541178,544
single push,,"(1000, 10)",33144273,552
single push,,"(1000, 10)",34267281,560
single push,,"(1000, 10)",34812634,568
single push,,"(1000, 10)",35270917,576
single push,,"(1000, 10)",36075289,584
single push,,"(1000, 10)",36172199,592
single push,,"(1000, 10)",36422656,600
single push,,"(1000, 10)",36961187,608
single push,,"(1000, 10)",37116076,616
single push,,"(1000, 10)",37443386,624
single push,,"(1000, 10)",38179228,632
single push,,"(1000, 10)",38793230,640
single push,,"(1000, 10)",38819250,648
single push,,"(1000, 10)",38907353,656
single push,,"(1000, 10)",40274642,664
single push,,"(1000, 10)",40918334,672
single push,,"(1000, 10)",41105471,680
single push,,"(1000, 10)",41082282,688
single push,,"(1000, 10)",40705690,696
single push,,"(1000, 10)",41720448,704
single push,,"(1000, 10)",43751736,712
single push,,"(1000, 10)",43634186,720
single push,,"(1000, 10)",43976313,728
single push,,"(1000, 10)",43116431,736
single push,,"(1000, 10)",44130893,744
single push,,"(1000, 10)",45354427,752
single push,,"(1000, 10)",46495737,760
single push,,"(1000, 10)",46737671,768
single push,,"(1000, 10)",47188651,776
single push,,"(1000, 10)",47496184,784
single push,,"(1000, 10)",47657152,792
single push,,"(1000, 10)",48915677,800
