group,function,value,sample_time_nanos,iteration_count
single push,,"(1000, 100)",342670,1
single push,,"(1000, 100)",574670,2
single push,,"(1000, 100)",827850,3
single push,,"(1000, 100)",1270142,4
single push,,"(1000, 100)",1494011,5
single push,,"(1000, 100)",1676200,6
single push,,"(1000, 100)",1972450,7
single push,,"(1000, 100)",2200432,8
single push,,"(1000, 100)",2545704,9
single push,,"(1000, 100)",2760162,10
single push,,"(1000, 100)",3169641,11
single push,,"(1000, 100)",3592972,12
single push,,"(1000, 100)",3685035,13
single push,,"(1000, 100)",4075373,14
single push,,"(1000, 100)",4421713,15
single push,,"(1000, 100)",4680344,16
single push,,"(1000, 100)",4766684,17
single push,,"(1000, 100)",5180544,18
single push,,"(1000, 100)",5294755,19
single push,,"(1000, 100)",5587314,20
single push,,"(1000, 100)",5851586,21
single push,,"(1000, 100)",6308842,22
single push,,"(1000, 100)",6510134,23
single push,,"(1000, 100)",6614196,24
single push,,"(1000, 100)",7115854,25
single push,,"(1000, 100)",7278358,26
single push,,"(1000, 100)",7727096,27
single push,,"(1000, 100)",7990425,28
single push,,"(1000, 100)",8380730,29
single push,,"(1000, 100)",8630268,30
single push,,"(1000, 100)",8800187,31
single push,,"(1000, 100)",9222857,32
single push,,"(1000, 100)",9334166,33
single push,,"(1000, 100)",9390146,34
single push,,"(1000, 100)",9606155,35
single push,,"(1000, 100)",10006986,36
single push,,"(1000, 100)",10293487,37
single push,,"(1000, 100)",10621018,38
single push,,"(1000, 100)",10995451,39
single push,,"(1000, 100)",11165785,40
single push,,"(1000, 100)",11553020,41
single push,,"(1000, 100)",12119269,42
single push,,"(1000, 100)",12338697,43
single push,,"(1000, 100)",12626018,44
single push,,"(1000, 100)",12982130,45
single push,,"(1000, 100)",13128192,46
single push,,"(1000, 100)",13018271,47
single push,,"(1000, 100)",13490690,48
single push,,"(1000, 100)",13969648,49
single push,,"(1000, 100)",14283667,50
single push,,"(1000, 100)",14803350,51
single push,,"(1000, 100)",14865542,52
single push,,"(1000, 100)",14913330,53
single push,,"(1000, 100)",15518324,54
single push,,"(1000, 100)",15423935,55
single push,,"(1000, 100)",16114464,56
single push,,"(1000, 100)",16114819,57
single push,,"(1000, 100)",16435313,58
single push,,"(1000, 100)",16988638,59
single push,,"(1000, 100)",17523732,60
single push,,"(1000, 100)",17590591,61
single push,,"(1000, 100)",17577277,62
single push,,"(1000, 100)",17996034,63
single push,,"(1000, 100)",18184247,64
single push,,"(1000, 100)",18868191,65
single push,,"(1000, 100)",18602562,66
single push,,"(1000, 100)",19041817,67
single push,,"(1000, 100)",19396477,68
single push,,"(1000, 100)",19740393,69
single push,,"(1000, 100)",19783970,70
single push,,"(1000, 100)",20540664,71
single push,,"(1000, 100)",20719518,72
single push,,"(1000, 100)",21100402,73
single push,,"(1000, 100)",20887024,74
single push,,"(1000, 100)",20992249,75
single push,,"(1000, 100)",21682966,76
single push,,"(1000, 100)",22158537,77
single push,,"(1000, 100)",21800576,78
single push,,"(1000, 100)",22506340,79
single push,,"(1000, 100)",22714672,80
single push,,"(1000, 100)",22678672,81
single push,,"(1000, 100)",23352583,82
single push,,"(1000, 100)",23334919,83
single push,,"(1000, 100)",23885210,84
single push,,"(1000, 100)",24461996,85
single push,,"(1000, 100)",24462420,86
single push,,"(1000, 100)",24206805,87
single push,,"(1000, 100)",24937269,88
single push,,"(1000, 100)",25417878,89
single push,,"(1000, 100)",25307927,90
single push,,"(1000, 100)",26317129,91
single push,,"(1000, 100)",26570601,92
single push,,"(1000, 100)",26392807,93
single push,,"(1000, 100)",26907467,94
single push,,"(1000, 100)",27087884,95
single push,,"(1000, 100)",27142879,96
single push,,"(1000, 100)",27644745,97
single push,,"(1000, 100)",27758414,98
single push,,"(1000, 100)",28322995,99
single push,,"(1000, 100)",28410639,100
