group,function,value,sample_time_nanos,iteration_count
split by half size,,"(100, 100)",873001,16
split by half size,,"(100, 100)",1723351,32
split by half size,,"(100, 100)",2611053,48
split by half size,,"(100, 100)",3286653,64
split by half size,,"(100, 100)",4599743,80
split by half size,,"(100, 100)",5289563,96
split by half size,,"(100, 100)",6260785,112
split by half size,,"(100, 100)",7201385,128
split by half size,,"(100, 100)",7938977,144
split by half size,,"(100, 100)",8452435,160
split by half size,,"(100, 100)",8789618,176
split by half size,,"(100, 100)",10296868,192
split by half size,,"(100, 100)",10713397,208
split by half size,,"(100, 100)",11446920,224
split by half size,,"(100, 100)",12644139,240
split by half size,,"(100, 100)",14471670,256
split by half size,,"(100, 100)",14894334,272
split by half size,,"(100, 100)",15525303,288
split by half size,,"(100, 100)",15699812,304
split by half size,,"(100, 100)",16748722,320
split by half size,,"(100, 100)",18067393,336
split by half size,,"(100, 100)",18879214,352
split by half size,,"(100, 100)",19587957,368
split by half size,,"(100, 100)",21308506,384
split by half size,,"(100, 100)",21951558,400
split by half size,,"(100, 100)",22305425,416
split by half size,,"(100, 100)",24215076,432
split by half size,,"(100, 100)",24525777,448
split by half size,,"(100, 100)",25328541,464
split by half size,,"(100, 100)",25465362,480
split by half size,,"(100, 100)",27453511,496
split by half size,,"(100, 100)",28097331,512
split by half size,,"(100, 100)",27763202,528
split by half size,,"(100, 100)",30048214,544
split by half size,,"(100, 100)",31126873,560
split by half size,,"(100, 100)",30959034,576
split by half size,,"(100, 100)",32685216,592
split by half size,,"(100, 100)",32809643,608
split by half size,,"(100, 100)",34533978,624
split by half size,,"(100, 100)",34384185,640
split by half size,,"(100, 100)",35508852,656
split by half size,,"(100, 100)",36456769,672
split by half size,,"(100, 100)",37087079,688
split by half size,,"(100, 100)",37771461,704
split by half size,,"(100, 100)",37773531,720
split by half size,,"(100, 100)",40110753,736
split by half size,,"(100, 100)",39867418,752
split by half size,,"(100, 100)",41591420,768
split by half size,,"(100, 100)",43694484,784
split by half size,,"(100, 100)",42875994,800
split by half size,,"(100, 100)",43349253,816
split by half size,,"(100, 100)",45044296,832
split by half size,,"(100, 100)",45856986,848
split by half size,,"(100, 100)",46826706,864
split by half size,,"(100, 100)",48630159,880
split by half size,,"(100, 100)",50272117,896
split by half size,,"(100, 100)",49842298,912
split by half size,,"(100, 100)",51479907,928
split by half size,,"(100, 100)",52675911,944
split by half size,,"(100, 100)",52354398,960
split by half size,,"(100, 100)",53482354,976
split by half size,,"(100, 100)",53756736,992
split by half size,,"(100, 100)",55215199,1008
split by half size,,"(100, 100)",55452478,1024
split by half size,,"(100, 100)",57082260,1040
split by half size,,"(100, 100)",57057163,1056
split by half size,,"(100, 100)",58032302,1072
split by half size,,"(100, 100)",59393908,1088
split by half size,,"(100, 100)",60246892,1104
split by half size,,"(100, 100)",61152783,1120
split by half size,,"(100, 100)",63149650,1136
split by half size,,"(100, 100)",64607023,1152
split by half size,,"(100, 100)",65455980,1168
split by half size,,"(100, 100)",64625269,1184
split by half size,,"(100, 100)",64758094,1200
split by half size,,"(100, 100)",65491216,1216
split by half size,,"(100, 100)",67837792,1232
split by half size,,"(100, 100)",66443051,1248
split by half size,,"(100, 100)",67508823,1264
split by half size,,"(100, 100)",68465043,1280
split by half size,,"(100, 100)",69746768,1296
split by half size,,"(100, 100)",69650174,1312
split by half size,,"(100, 100)",73512991,1328
split by half size,,"(100, 100)",74908254,1344
split by half size,,"(100, 100)",75208088,1360
split by half size,,"(100, 100)",75420329,1376
split by half size,,"(100, 100)",76093884,1392
split by half size,,"(100, 100)",75727710,1408
split by half size,,"(100, 100)",74399881,1424
split by half size,,"(100, 100)",77851278,1440
split by half size,,"(100, 100)",79166190,1456
split by half size,,"(100, 100)",79760728,1472
split by half size,,"(100, 100)",79517960,1488
split by half size,,"(100, 100)",82235648,1504
split by half size,,"(100, 100)",84132437,1520
split by half size,,"(100, 100)",84079782,1536
split by half size,,"(100, 100)",85974334,1552
split by half size,,"(100, 100)",83006319,1568
split by half size,,"(100, 100)",84577244,1584
split by half size,,"(100, 100)",85643788,1600
