group,function,value,sample_time_nanos,iteration_count
split by half size,,"(1000, 100)",1144971,1
split by half size,,"(1000, 100)",1915941,2
split by half size,,"(1000, 100)",2905891,3
split by half size,,"(1000, 100)",3667223,4
split by half size,,"(1000, 100)",5014052,5
split by half size,,"(1000, 100)",6172945,6
split by half size,,"(1000, 100)",6753867,7
split by half size,,"(1000, 100)",7190407,8
split by half size,,"(1000, 100)",8377327,9
split by half size,,"(1000, 100)",9328886,10
split by half size,,"(1000, 100)",10167488,11
split by half size,,"(1000, 100)",11427220,12
split by half size,,"(1000, 100)",11888774,13
split by half size,,"(1000, 100)",12120461,14
split by half size,,"(1000, 100)",13313252,15
split by half size,,"(1000, 100)",14517933,16
split by half size,,"(1000, 100)",16001298,17
split by half size,,"(1000, 100)",16555284,18
split by half size,,"(1000, 100)",17930635,19
split by half size,,"(1000, 100)",18444925,20
split by half size,,"(1000, 100)",18967995,21
split by half size,,"(1000, 100)",19613887,22
split by half size,,"(1000, 100)",21648045,23
split by half size,,"(1000, 100)",21267771,24
split by half size,,"(1000, 100)",23083009,25
split by half size,,"(1000, 100)",23449248,26
split by half size,,"(1000, 100)",24132935,27
split by half size,,"(1000, 100)",25266296,28
split by half size,,"(1000, 100)",28482930,29
split by half size,,"(1000, 100)",29042067,30
split by half size,,"(1000, 100)",29128994,31
split by half size,,"(1000, 100)",30814251,32
split by half size,,"(1000, 100)",31265815,33
split by half size,,"(1000, 100)",32559981,34
split by half size,,"(1000, 100)",31614519,35
split by half size,,"(1000, 100)",33615167,36
split by half size,,"(1000, 100)",34863612,37
split by half size,,"(1000, 100)",35223562,38
split by half size,,"(1000, 100)",36739098,39
split by half size,,"(1000, 100)",36647924,40
split by half size,,"(1000, 100)",37042406,41
split by half size,,"(1000, 100)",38352941,42
split by half size,,"(1000, 100)",40301796,43
split by half size,,"(1000, 100)",41119205,44
split by half size,,"(1000, 100)",42058567,45
split by half size,,"(1000, 100)",45045771,46
split by half size,,"(1000, 100)",43133779,47
split by half size,,"(1000, 100)",44575678,48
split by half size,,"(1000, 100)",46048866,49
split by half size,,"(1000, 100)",46486426,50
split by half size,,"(1000, 100)",48365569,51
split by half size,,"(1000, 100)",49465675,52
split by half size,,"(1000, 100)",48736484,53
split by half size,,"(1000, 100)",50113544,54
split by half size,,"(1000, 100)",51642459,55
split by half size,,"(1000, 100)",52519865,56
split by half size,,"(1000, 100)",52090784,57
split by half size,,"(1000, 100)",53346593,58
split by half size,,"(1000, 100)",56189062,59
split by half size,,"(1000, 100)",55703273,60
split by half size,,"(1000, 100)",56788961,61
split by half size,,"(1000, 100)",60280163,62
split by half size,,"(1000, 100)",59091804,63
split by half size,,"(1000, 100)",58077473,64
split by half size,,"(1000, 100)",63455176,65
split by half size,,"(1000, 100)",63576255,66
split by half size,,"(1000, 100)",64966869,67
split by half size,,"(1000, 100)",64902609,68
split by half size,,"(1000, 100)",67039991,69
split by half size,,"(1000, 100)",68865324,70
split by half size,,"(1000, 100)",70597573,71
split by half size,,"(1000, 100)",69446199,72
split by half size,,"(1000, 100)",69841229,73
split by half size,,"(1000, 100)",69945283,74
split by half size,,"(1000, 100)",73496380,75
split by half size,,"(1000, 100)",71896282,76
split by half size,,"(1000, 100)",72850556,77
split by half size,,"(1000, 100)",76710467,78
split by half size,,"(1000, 100)",76702837,79
split by half size,,"(1000, 100)",77005101,80
split by half size,,"(1000, 100)",76784303,81
split by half size,,"(1000, 100)",77229956,82
split by half size,,"(1000, 100)",79176633,83
split by half size,,"(1000, 100)",76842369,84
split by half size,,"(1000, 100)",79982472,85
split by half size,,"(1000, 100)",81564234,86
split by half size,,"(1000, 100)",82138523,87
split by half size,,"(1000, 100)",83921308,88
split by half size,,"(1000, 100)",81742874,89
split by half size,,"(1000, 100)",86460957,90
split by half size,,"(1000, 100)",86282273,91
split by half size,,"(1000, 100)",84686420,92
split by half size,,"(1000, 100)",89159887,93
split by half size,,"(1000, 100)",91688113,94
split by half size,,"(1000, 100)",93669505,95
split by half size,,"(1000, 100)",92591439,96
split by half size,,"(1000, 100)",90662390,97
split by half size,,"(1000, 100)",91411808,98
split by half size,,"(1000, 100)",95740908,99
split by half size,,"(1000, 100)",95219471,100
