group,function,value,sample_time_nanos,iteration_count
split by median price,,"(100, 10)",832701,62
split by median price,,"(100, 10)",1707271,124
split by median price,,"(100, 10)",2508673,186
split by median price,,"(100, 10)",3189683,248
split by median price,,"(100, 10)",3966553,310
split by median price,,"(100, 10)",4912144,372
split by median price,,"(100, 10)",5749294,434
split by median price,,"(100, 10)",6595074,496
split by median price,,"(100, 10)",7474447,558
split by median price,,"(100, 10)",8028026,620
split by median price,,"(100, 10)",8654295,682
split by median price,,"(100, 10)",9491576,744
split by median price,,"(100, 10)",10495867,806
split by median price,,"(100, 10)",11122219,868
split by median price,,"(100, 10)",12309898,930
split by median price,,"(100, 10)",12303011,992
split by median price,,"(100, 10)",12811941,1054
split by median price,,"(100, 10)",14712352,1116
split by median price,,"(100, 10)",15360081,1178
split by median price,,"(100, 10)",16538214,1240
split by median price,,"(100, 10)",16822655,1302
split by median price,,"(100, 10)",18016623,1364
split by median price,,"(100, 10)",18505514,1426
split by median price,,"(100, 10)",19569925,1488
split by median price,,"(100, 10)",20500505,1550
split by median price,,"(100, 10)",21465306,1612
split by median price,,"(100, 10)",21794336,1674
split by median price,,"(100, 10)",23033335,1736
split by median price,,"(100, 10)",23058876,1798
split by median price,,"(100, 10)",24200266,1860
split by median price,,"(100, 10)",24941609,1922
split by median price,,"(100, 10)",25337040,1984
split by median price,,"(100, 10)",27203192,2046
split by median price,,"(100, 10)",27350911,2108
split by median price,,"(100, 10)",28763451,2170
split by median price,,"(100, 10)",28957245,2232
split by median price,,"(100, 10)",29882154,2294
split by median price,,"(100, 10)",30376284,2356
split by median price,,"(100, 10)",30830074,2418
split by median price,,"(100, 10)",32715232,2480
split by median price,,"(100, 10)",32735172,2542
split by median price,,"(100, 10)",34812267,2604
split by median price,,"(100, 10)",34841405,2666
split by median price,,"(100, 10)",35641563,2728
split by median price,,"(100, 10)",36455810,2790
split by median price,,"(100, 10)",37858219,2852
split by median price,,"(100, 10)",37983187,2914
split by median price,,"(100, 10)",39108313,2976
split by median price,,"(100, 10)",40355701,3038
split by median price,,"(100, 10)",40827488,3100
split by median price,,"(100, 10)",41747709,3162
split by median price,,"(100, 10)",42433328,3224
split by median price,,"(100, 10)",43536122,3286
split by median price,,"(100, 10)",44401565,3348
split by median price,,"(100, 10)",44585621,3410
split by median price,,"(100, 10)",45418850,3472
split by median price,,"(100, 10)",46576163,3534
split by median price,,"(100, 10)",47941693,3596
split by median price,,"(100, 10)",47890028,3658
split by median price,,"(100, 10)",49013030,3720
split by median price,,"(100, 10)",50571183,3782
split by median price,,"(100, 10)",50080480,3844
split by median price,,"(100, 10)",50538847,3906
split by median price,,"(100, 10)",52615378,3968
split by median price,,"(100, 10)",51862332,4030
split by median price,,"(100, 10)",52738153,4092
split by median price,,"(100, 10)",54233701,4154
split by median price,,"(100, 10)",55794222,4216
split by median price,,"(100, 10)",56505364,4278
split by median price,,"(100, 10)",57680933,4340
split by median price,,"(100, 10)",58549007,4402
split by median price,,"(100, 10)",59224422,4464
split by median price,,"(100, 10)",59086788,4526
split by median price,,"(100, 10)",60752007,4588
split by median price,,"(100, 10)",61674881,4650
split by median price,,"(100, 10)",62042190,4712
split by median price,,"(100, 10)",62504965,4774
split by median price,,"(100, 10)",63688494,4836
split by median price,,"(100, 10)",63174318,4898
split by median price,,"(100, 10)",63465506,4960
split by median price,,"(100, 10)",65561872,5022
split by median price,,"(100, 10)",67026354,5084
split by median price,,"(100, 10)",67209402,5146
split by median price,,"(100, 10)",68913582,5208
split by median price,,"(100, 10)",68838589,5270
split by median price,,"(100, 10)",70166463,5332
split by median price,,"(100, 10)",70808511,5394
split by median price,,"(100, 10)",72139661,5456
split by median price,,"(100, 10)",71889275,5518
split by median price,,"(100, 10)",75234489,5580
split by median price,,"(100, 10)",72215245,5642
split by median price,,"(100, 10)",74220748,5704
split by median price,,"(100, 10)",75253566,5766
split by median price,,"(100, 10)",75635372,5828
split by median price,,"(100, 10)",74853383,5890
split by median price,,"(100, 10)",77055763,5952
split by median price,,"(100, 10)",77523670,6014
split by median price,,"(100, 10)",79387401,6076
split by median price,,"(100, 10)",81377215,6138
split by median price,,"(100, 10)",80851103,6200
