group,function,value,sample_time_nanos,iteration_count
split by median price,,"(1000, 10)",892620,6
split by median price,,"(1000, 10)",1639651,12
split by median price,,"(1000, 10)",2694232,18
split by median price,,"(1000, 10)",3424923,24
split by median price,,"(1000, 10)",4375893,30
split by median price,,"(1000, 10)",5400245,36
split by median price,,"(1000, 10)",6148793,42
split by median price,,"(1000, 10)",6930417,48
split by median price,,"(1000, 10)",7297283,54
split by median price,,"(1000, 10)",8529756,60
split by median price,,"(1000, 10)",9650269,66
split by median price,,"(1000, 10)",9847735,72
split by median price,,"(1000, 10)",11166468,78
split by median price,,"(1000, 10)",11943281,84
split by median price,,"(1000, 10)",12939089,90
split by median price,,"(1000, 10)",13675141,96
split by median price,,"(1000, 10)",14929283,102
split by median price,,"(1000, 10)",15359873,108
split by median price,,"(1000, 10)",16224163,114
split by median price,,"(1000, 10)",16851975,120
split by median price,,"(1000, 10)",17248653,126
split by median price,,"(1000, 10)",18520351,132
split by median price,,"(1000, 10)",19617667,138
split by median price,,"(1000, 10)",20444455,144
split by median price,,"(1000, 10)",21829139,150
split by median price,,"(1000, 10)",22034118,156
split by median price,,"(1000, 10)",23262919,162
split by median price,,"(1000, 10)",24723709,168
split by median price,,"(1000, 10)",25339819,174
split by median price,,"(1000, 10)",25830029,180
split by median price,,"(1000, 10)",26971091,186
split by median price,,"(1000, 10)",27745383,192
split by median price,,"(1000, 10)",28685361,198
split by median price,,"(1000, 10)",28653571,204
split by median price,,"(1000, 10)",30189073,210
split by median price,,"(1000, 10)",30686053,216
split by median price,,"(1000, 10)",31697362,222
split by median price,,"(1000, 10)",32826237,228
split by median price,,"(1000, 10)",33225394,234
split by median price,,"(1000, 10)",33771987,240
split by median price,,"(1000, 10)",35155368,246
split by median price,,"(1000, 10)",36505206,252
split by median price,,"(1000, 10)",35997078,258
split by median price,,"(1000, 10)",37814757,264
split by median price,,"(1000, 10)",38641384,270
split by median price,,"(1000, 10)",39000439,276
split by median price,,"(1000, 10)",40633519,282
split by median price,,"(1000, 10)",41052949,288
split by median price,,"(1000, 10)",40765548,294
split by median price,,"(1000, 10)",42929384,300
split by median price,,"(1000, 10)",42748753,306
split by median price,,"(1000, 10)",43887664,312
split by median price,,"(1000, 10)",44977365,318
split by median price,,"(1000, 10)",47420936,324
split by median price,,"(1000, 10)",46353034,330
split by median price,,"(1000, 10)",46715155,336
split by median price,,"(1000, 10)",47889771,342
split by median price,,"(1000, 10)",48606405,348
split by median price,,"(1000, 10)",49225861,354
split by median price,,"(1000, 10)",51598862,360
split by median price,,"(1000, 10)",52791029,366
split by median price,,"(1000, 10)",53150462,372
split by median price,,"(1000, 10)",54284375,378
split by median price,,"(1000, 10)",52932760,384
split by median price,,"(1000, 10)",55513512,390
split by median price,,"(1000, 10)",55588094,396
split by median price,,"(1000, 10)",57113896,402
split by median price,,"(1000, 10)",58820844,408
split by median price,,"(1000, 10)",59845164,414
split by median price,,"(1000, 10)",59397123,420
split by median price,,"(1000, 10)",59683282,426
split by median price,,"(1000, 10)",59507695,432
split by median price,,"(1000, 10)",61928143,438
split by median price,,"(1000, 10)",61829746,444
split by median price,,"(1000, 10)",65116250,450
split by median price,,"(1000, 10)",66533390,456
split by median price,,"(1000, 10)",66757002,462
split by median price,,"(1000, 10)",67616379,468
split by median price,,"(1000, 10)",68175740,474
split by median price,,"(1000, 10)",69377371,480
split by median price,,"(1000, 10)",70329445,486
split by median price,,"(1000, 10)",71160727,492
split by median price,,"(1000, 10)",71593045,498
split by median price,,"(1000, 10)",71116852,504
split by median price,,"(1000, 10)",72852431,510
split by median price,,"(1000, 10)",73308538,516
split by median price,,"(1000, 10)",75087391,522
split by median price,,"(1000, 10)",75789619,528
split by median price,,"(1000, 10)",74439851,534
split by median price,,"(1000, 10)",75808971,540
split by median price,,"(1000, 10)",78570557,546
split by median price,,"(1000, 10)",79989801,552
split by median price,,"(1000, 10)",80384717,558
split by median price,,"(1000, 10)",81398660,564
split by median price,,"(1000, 10)",81955053,570
split by median price,,"(1000, 10)",82475480,576
split by median price,,"(1000, 10)",84677504,582
split by median price,,"(1000, 10)",85187372,588
split by median price,,"(1000, 10)",86062294,594
split by median price,,"(1000, 10)",85834796,600
